compliance_id,veh_id,veh_name,market_class,fueling_class,techNo,base_year_market_share,market_class_share_frac,project_sales,base_year_msrp_dollars,market_share_frac,credits_co2e_Mg_per_vehicle,target_co2e_Mg_per_vehicle,cert_co2e_Mg_per_vehicle,cert_co2e_grams_per_mile,cert_direct_co2e_grams_per_mile,cert_direct_kwh_per_mile,onroad_direct_co2e_grams_per_mile,onroad_direct_kwh_per_mile,new_vehicle_mfr_cost_dollars,new_vehicle_mfr_generalized_cost_dollars,battery_kwh,curbweight_lbs,rated_hp,footprint_ft2
Mazda,Maz_4-4,composite vehicle (cuv_suv_van.ICE.truck.ALT),cuv_suv_van.ICE,ICE,40,0.007926885035429335,0.6936771803717425,100956.43222782674,39073.0,1.0,20.998580006415658,57.34653861949802,36.34795861308236,160.92780471999805,178.12780471999804,0.0,239.27279432460176,0.0,47264.145545662745,49062.64488167669,1.3136083848302285,3741.582423152221,195.41168935659402,50.17448807141
Mazda,Maz_4-5,composite vehicle (cuv_suv_van.ICE.truck.ALT),cuv_suv_van.ICE,ICE,48,0.007926885035429335,0.6936771803717425,100956.43222782674,39073.0,1.0,21.27760327260209,57.34653861949802,36.06893534689593,159.6924505651426,176.89245056514255,0.0,247.00053468291827,0.0,49092.26094161857,50964.28730977743,1.2916994842306744,3741.582423152221,195.41168935659402,50.17448807141
Mazda,Maz_5-0,composite vehicle (cuv_suv_van.BEV.car.ALT),cuv_suv_van.BEV,BEV,0,0.0036442060547989467,0.30632281962825747,44581.629401538165,36150.0,1.0,67.49560511999998,61.071419519999985,-6.4241856,-18.8,-5.0,0.22210922008540085,0.0,0.3032725467155987,51610.54597581767,53593.89021485128,93.51967161490562,4567.051974538661,238.89194943740688,44.09523809523809
Mazda,Maz_5-1,composite vehicle (cuv_suv_van.BEV.car.ALT),cuv_suv_van.BEV,BEV,1,0.0036442060547989467,0.30632281962825747,44581.629401538165,36150.0,1.0,73.6888772088,67.26469160879999,-6.4241856,-18.8,-5.0,0.22441072213532554,0.0,0.3057395098833535,53255.00059602023,54346.939003221516,94.48872510961075,4816.54976258028,251.94260296573773,48.615
Mazda,Maz_6-0,composite vehicle (cuv_suv_van.ICE.car.ALT),cuv_suv_van.ICE,ICE,0,0.0036442060547989467,0.30632281962825747,44581.629401538165,36150.0,1.0,-8.698883567092551,34.89795401142857,43.59683757852112,223.271251119106,237.07125111910602,0.0,303.26110997197844,0.0,35522.30389758965,38848.69087485444,0.0,3458.7025448888094,180.91674850187619,44.09523809523809
Mazda,Maz_6-1,composite vehicle (cuv_suv_van.ICE.car.ALT),cuv_suv_van.ICE,ICE,1,0.0036442060547989467,0.30632281962825747,44581.629401538165,36150.0,1.0,-4.153254657463258,34.89795401142857,39.051208668891825,199.99185036100778,213.7918503610078,0.0,276.85301270045557,0.0,36151.478535621536,39226.600728235644,0.0,3458.7025448888094,180.91674850187619,44.09523809523809
Mazda,Maz_6-2,composite vehicle (cuv_suv_van.ICE.car.ALT),cuv_suv_van.ICE,ICE,2,0.0036442060547989467,0.30632281962825747,44581.629401538165,36150.0,1.0,-2.427740058644389,34.89795401142857,37.325694070072956,191.15502125365123,204.95502125365124,0.0,270.1066263713596,0.0,36498.57914474024,39509.51158181377,0.0,3458.7025448888094,180.91674850187619,44.09523809523809
Mazda,Maz_6-3,composite vehicle (cuv_suv_van.ICE.car.ALT),cuv_suv_van.ICE,ICE,3,0.0036442060547989467,0.30632281962825747,44581.629401538165,36150.0,1.0,3.295154478877606,38.436966633599994,35.14181215472239,179.97076857343077,193.7707685734308,0.0,264.7844825514186,0.0,39268.011802399385,41324.353324928066,0.0,3368.5084535094097,176.19890372203068,48.615
Mazda,Maz_6-4,composite vehicle (cuv_suv_van.ICE.car.ALT),cuv_suv_van.ICE,ICE,4,0.0036442060547989467,0.30632281962825747,44581.629401538165,36150.0,1.0,8.955696516902375,38.436966633599994,29.48127011669762,150.98159474709942,164.78159474709943,0.0,218.5127104308196,0.0,43944.73213779072,45560.81222316448,1.195240576848002,3401.2148953168144,177.90970221657184,48.615
Mazda,Maz_6-5,composite vehicle (cuv_suv_van.ICE.car.ALT),cuv_suv_van.ICE,ICE,5,0.0036442060547989467,0.30632281962825747,44581.629401538165,36150.0,1.0,9.202209972361622,38.436966633599994,29.23475666123837,149.71913236048823,163.51913236048824,0.0,225.77986020353072,0.0,45656.35647745122,47341.581219628155,1.1780440393056912,3401.2148953168144,177.90970221657184,48.615
